Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Manchester by the Sea (2016),25,2016,7.8,"16 December 2016 (USA)
",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,823
Dangal (2016),26,2016,8.4,"21 December 2016 (USA)
",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,403
10 Cloverfield Lane (2016),27,2016,7.2,"11 March 2016 (USA)
","After getting in a car accident, a woman is held in a shelter by a man who claims that the outside world is affected by a widespread chemical attack.",771
Hidden Figures (2016),28,2016,7.8,"6 January 2017 (USA)
",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,523
Florence Foster Jenkins (2016),29,2016,6.8,"12 August 2016 (USA)
","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",194
The Invisible Guest (2016),30,2016,8.1,"6 January 2017 (Spain)
",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,421
I'm Gilda (2016),31,2016,6.9,"15 September 2016 (Argentina)
",The life and death of the tropical singer Gilda.,4
Deepwater Horizon (2016),32,2016,7.1,"30 September 2016 (USA)
","A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",289
The Edge of Seventeen (2016),33,2016,7.3,"18 November 2016 (USA)
","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",277
The Magnificent Seven (2016),34,2016,6.9,"23 September 2016 (USA)
",Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,514
The Shallows (2016),35,2016,6.3,"24 June 2016 (USA)
","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",533
X-Men: Apocalypse (2016),36,2016,6.9,"27 May 2016 (USA)
","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",841
Hush (2016),37,2016,6.6,"8 April 2016 (USA)
",A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,448
Captain America: Civil War (2016),38,2016,7.8,"6 May 2016 (USA)
",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,1437
¿Qué culpa tiene el niño? (2016),39,2016,6.6,"13 May 2016 (Mexico)
","Maru, after becoming pregnant from a drunken one night stand with a immature young unemployed bachelor, is determined to follow tradition and marry him anyways.",7
War Dogs (2016),40,2016,7.1,"19 August 2016 (USA)
","Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",227
